event_id,event_title,category_id,category_name,date,longitude,latitude,nearest_city_id,nearest_city_name,nearest_city_country,nearest_city_latitude,nearest_city_longitude,nearest_disaster_distance_km
EONET_19699,Wildfire in Australia 1028418,wildfires,Wildfires,2026-04-10,125.70259309357569,-15.85541000395289,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,12986.22
EONET_19700,Wildfire in India 1028408,wildfires,Wildfires,2026-04-10,83.56555824367679,27.0286173062282,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12267.9
EONET_19742,Wildfire in Sudan 1028440,wildfires,Wildfires,2026-04-10,32.541839793467624,8.623828510586716,US-MIAMI,Miami,United States,25.7617,-80.1918,11808.51
EONET_19766,Wildfire in Bangladesh 1028480,wildfires,Wildfires,2026-04-10,92.03122311973955,23.419398242379884,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12286.46
EONET_19783,Wildfire in India 1028493,wildfires,Wildfires,2026-04-10,83.85081860207208,25.19682864212445,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12448.01
EONET_19828,Wildfire in India 1028518,wildfires,Wildfires,2026-04-10,81.14519075182886,18.65679344583959,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,13226.84
EONET_19829,Wildfire in Thailand 1028519,wildfires,Wildfires,2026-04-10,98.9772420302785,17.275991243561524,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12509.17
EONET_19578,"Riceville RX Prescribed Fire, Crawford, Indiana",wildfires,Wildfires,2026-04-10,-86.6616,38.3166,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,981.5
EONET_19583,"Chickasawhay CPT 438 441 RX Prescribed Fire, Wayne, Mississippi",wildfires,Wildfires,2026-04-10,-88.6813,31.5038,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,217.86
EONET_19577,"Burn Unit 16 RX Prescribed Fire, Sherburne, Minnesota",wildfires,Wildfires,2026-04-10,-93.706253,45.525781,US-DENVER,Denver,United States,39.7392,-104.9903,1123.54
EONET_19581,"Bienville CPT 43 44 RX Prescribed Fire, Scott, Mississippi",wildfires,Wildfires,2026-04-10,-89.5273,32.3809,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,275.1
EONET_19584,"RX Middle Northfork 4/7 Prescribed Fire, Garland, Arkansas",wildfires,Wildfires,2026-04-10,-93.266667,34.716667,US-DALLAS,Dallas,United States,32.7767,-96.797,391.21
EONET_19556,"Purple Monster Wildfire, Oldham, Texas",wildfires,Wildfires,2026-04-09,-102.378681,35.381875,US-DENVER,Denver,United States,39.7392,-104.9903,536.35
EONET_19592,Flood in Spain 1103837,floods,Floods,2026-04-09,-3.5995337,37.1734995,US-MIAMI,Miami,United States,25.7617,-80.1918,7182.62
EONET_19482,Wildfire in Mongolia 1028274,wildfires,Wildfires,2026-04-09,118.50794117668437,46.80303310085913,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,8808.46
EONET_19514,Wildfire in Australia 1028290,wildfires,Wildfires,2026-04-09,127.48348564742122,-17.581340970811254,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,12938.16
EONET_19539,Wildfire in Australia 1028319,wildfires,Wildfires,2026-04-09,125.80617185712205,-17.372979034187075,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,13072.52
EONET_19540,Wildfire in Australia 1028320,wildfires,Wildfires,2026-04-09,125.14782678514189,-17.206727948162623,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,13120.0
EONET_19599,"Wildfire in India, Bangladesh 1028324",wildfires,Wildfires,2026-04-09,91.96304270974551,23.76256862625055,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12255.77
EONET_19600,Wildfire in Australia 1028344,wildfires,Wildfires,2026-04-09,136.20267504872146,-19.61756035970583,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,12302.94
EONET_19601,Wildfire in Australia 1028329,wildfires,Wildfires,2026-04-09,125.81996131764441,-17.40605234807318,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,13073.37
EONET_19602,Wildfire in Australia 1028330,wildfires,Wildfires,2026-04-09,125.45993691263584,-17.47650806447057,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,13109.4
EONET_19651,Wildfire in India 1028371,wildfires,Wildfires,2026-04-09,83.53164279064266,26.471098013550026,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12327.08
EONET_19652,Wildfire in India 1028352,wildfires,Wildfires,2026-04-09,83.34193337200297,26.61963153977634,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12318.28
EONET_19653,Wildfire in Cuba 1028368,wildfires,Wildfires,2026-04-09,-84.06182678121098,22.53605439012259,US-MIAMI,Miami,United States,25.7617,-80.1918,531.75
EONET_19654,Wildfire in Australia 1028369,wildfires,Wildfires,2026-04-09,124.7556316323466,-16.625592235403833,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,13118.06
EONET_19655,Wildfire in Australia 1028396,wildfires,Wildfires,2026-04-09,125.65062058104266,-17.532460149821652,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,13096.12
EONET_19656,Wildfire in Myanmar 1028397,wildfires,Wildfires,2026-04-09,93.83100515415117,23.62625167683479,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12179.86
EONET_19657,Wildfire in Bangladesh 1028398,wildfires,Wildfires,2026-04-09,92.12033205506941,23.422366037739252,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12281.97
EONET_19658,"Wildfire in Bangladesh, India 1028399",wildfires,Wildfires,2026-04-09,91.9646052089408,23.542417918617364,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12277.44
EONET_19659,"Wildfire in India, Nepal 1028353",wildfires,Wildfires,2026-04-09,83.08612151979501,27.393266109194236,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12246.49
EONET_19701,Wildfire in Bangladesh 1028409,wildfires,Wildfires,2026-04-09,92.31976119582109,23.04282291796066,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12309.92
EONET_19702,Wildfire in Myanmar 1028424,wildfires,Wildfires,2026-04-09,93.90613483143264,21.749932693589,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12358.88
